Team Number,Player Name,Position,Height,Weight,Team
12,Torrey Craig,GF,6-7,221,Chicago Bulls
99,Jae Crowder,SF,6-6,235,Milwaukee Bucks
2,Cade Cunningham,SF,6-6,220,Detroit Pistons
30,Seth Curry,G,6-1,190,Dallas Mavericks
30,Stephen Curry,G,6-3,198,Golden State Warriors
,Caleb Daniels,G,6-4,210,Miami Heat
11,Dyson Daniels,GF,6-8,200,New Orleans Pelicans
3,Anthony Davis,PF,6-10,253,Los Angeles Lakers
1,Johnny Davis,F,6-4,195,Washington Wizards
20,J.D. Davison,F,6-3,195,Boston Celtics
5,Darius Days,PF,6-7,240,Houston Rockets
11,DeMar DeRozan,GF,6-6,220,Chicago Bulls
0,Donte DiVincenzo,SG,6-4,206,New York Knicks
25,Moussa Diabate,PF,6-11,210,Los Angeles Clippers
1,Gradey Dick,GF,6-8,205,Toronto Raptors
13,Ousmane Dieng,SG,6-10,220,Oklahoma City Thunder
26,Spencer Dinwiddie,PG,6-5,215,Brooklyn Nets
77,Luka Doncic,SF,6-7,230,Dallas Mavericks
5,Luguentz Dort,PG,6-4,220,Oklahoma City Thunder
12,Ayo Dosunmu,PG,6-4,200,Chicago Bulls
20,Jeff Dowtin,PG,6-3,185,Toronto Raptors
3,Andre Drummond,C,6-10,279,Chicago Bulls
3,Chris Duarte,PG,6-6,190,Sacramento Kings
11,Kris Dunn,SG,6-3,205,Utah Jazz
35,Kevin Durant,SF,6-10,225,Phoenix Suns
0,Jalen Duren,PF,6-10,250,Detroit Pistons
17,Tari Eason,F,6-8,217,Houston Rockets
5,Anthony Edwards,SF,6-5,229,Minnesota Timberwolves
17,Kessler Edwards,SG,6-8,215,Sacramento Kings
23,Keon Ellis,F,6-5,175,Sacramento Kings
21,Joel Embiid,C,7-0,280,Philadelphia Sixers
24,Drew Eubanks,C,6-9,245,Phoenix Suns
,Tosan Evbuomwan,SF,6-7,209,Detroit Pistons
0,Dante Exum,PG,6-5,214,Dallas Mavericks
24,Bruno Fernando,C,6-9,240,Atlanta Hawks
28,Dorian Finney-Smith,SF,6-7,220,Brooklyn Nets
22,Malachi Flynn,PG,6-1,176,Toronto Raptors
16,Simone Fontecchio,SF,6-7,200,Utah Jazz
13,Evan Fournier,SG,6-7,205,New York Knicks
5,De'Aaron Fox,PG,6-3,185,Sacramento Kings
,Armaan Franklin,G,6-4,195,Denver Nuggets
00,Javon Freeman-Liberty,G,6-4,185,Toronto Raptors
,Alex Fudge,F,6-8,189,Los Angeles Lakers
20,Markelle Fultz,PG,6-4,210,Orlando Magic
,Andrew Funk,SG,6-5,188,Denver Nuggets
21,Daniel Gafford,C,6-10,234,Washington Wizards
88,Danilo Gallinari,SF,6-10,233,Washington Wizards
10,Darius Garland,G,6-1,186,Cleveland Cavaliers
16,Usman Garuba,C,6-8,220,Oklahoma City Thunder
55,Luka Garza,C,6-10,243,Minnesota Timberwolves
3,Keyonte George,G,6-4,185,Utah Jazz
13,Paul George,GF,6-8,220,Los Angeles Clippers
3,Josh Giddey,G,6-8,216,Oklahoma City Thunder
2,Shai Gilgeous-Alexander,PG,6-6,195,Oklahoma City Thunder
16,Anthony Gill,PF,6-8,230,Washington Wizards
21,Collin Gillespie,PG,6-3,190,Denver Nuggets
0,Jacob Gilyard,PG,5-9,160,Memphis Grizzlies
27,Rudy Gobert,C,7-1,256,Minnesota Timberwolves
4,Jordan Goodwin,SG,6-3,200,Phoenix Suns
50,Aaron Gordon,F,6-8,235,Denver Nuggets
23,Eric Gordon,G,6-3,215,Phoenix Suns
,Jazian Gortman,G,6-2,170,Milwaukee Bucks
4,Devonte' Graham,PG,6-1,195,San Antonio Spurs
9,Jerami Grant,F,6-8,210,Portland Trail Blazers
20,A.J. Green,PG,6-5,207,Milwaukee Bucks
23,Draymond Green,F,6-6,234,Golden State Warriors
4,Jalen Green,SG,6-6,178,Houston Rockets
32,Jeff Green,F,6-8,235,Houston Rockets
8,Josh Green,SG,6-6,210,Dallas Mavericks
14,"A.J. Griffin, Jr.",SG,6-6,222,Atlanta Hawks
6,Quentin Grimes,SG,6-5,205,New York Knicks
17,Mouhamadou Gueye,F,6-9,210,Toronto Raptors
18,Mouhamed Gueye,F,6-11,210,Atlanta Hawks
28,Rui Hachimura,F,6-8,230,Los Angeles Lakers
0,Tyrese Haliburton,PG,6-5,185,Indiana Pacers
10,Tim Hardaway Jr.,SG,6-5,205,Dallas Mavericks
1,James Harden,SG,6-5,220,Philadelphia Sixers
1,Jaden Hardy,SG,6-4,198,Dallas Mavericks
8,Ron Harper,G,6-5,242,Toronto Raptors
5,Montrezl Harrell,F,6-7,240,Philadelphia Sixers
14,Gary Harris,SG,6-4,210,Orlando Magic
31,Joe Harris,SG,6-6,215,Detroit Pistons
8,Kevon Harris,SF,6-6,220,Orlando Magic
33,Tobias Harris,F,6-7,230,Philadelphia Sixers
3,Josh Hart,SG,6-5,215,New York Knicks
55,Isaiah Hartenstein,PF,7-0,250,New York Knicks
,Joey Hauser,PF,6-9,220,Utah Jazz
30,Sam Hauser,SF,6-8,215,Boston Celtics
24,Jordan Hawkins,G,6-5,195,New Orleans Pelicans
11,Jaxson Hayes,PF,6-11,220,Los Angeles Lakers
7,Killian Hayes,G,6-5,216,Detroit Pistons
20,Gordon Hayward,GF,6-7,225,Charlotte Hornets
,Scoot Henderson,G,6-2,196,Portland Trail Blazers
0,Taylor Hendricks,F,6-9,210,Utah Jazz
14,Tyler Herro,SG,6-6,195,Miami Heat
24,Buddy Hield,G,6-4,220,Indiana Pacers
24,Haywood Highsmith,F,6-7,220,Miami Heat
14,Nathaniel Hinton,SF,6-5,210,Houston Rockets
,D'Moi Hodge,F,6-4,185,Los Angeles Lakers
3,Aaron Holiday,PG,6-0,185,Houston Rockets
21,Jrue Holiday,G,6-4,205,Milwaukee Bucks
0,Justin Holiday,SF,6-6,181,Denver Nuggets
20,Richaun Holmes,F,6-10,240,Dallas Mavericks
7,Chet Holmgren,C,7-1,208,Oklahoma City Thunder
0,Jalen Hood-Schifino,PG,6-6,215,Los Angeles Lakers
42,Al Horford,FC,6-9,240,Boston Celtics
0,Talen Horton-Tucker,SF,6-4,233,Utah Jazz
25,Danuel House,F,6-6,215,Philadelphia Sixers
2,Caleb Houstan,SF,6-8,210,Orlando Magic
13,Jett Howard,GF,6-8,215,Orlando Magic
12,Trevor Hudgins,G,6-0,198,Houston Rockets
9,Kevin Huerter,SF,6-7,190,Sacramento Kings
30,James Huff,C,7-1,240,Denver Nuggets
12,De'Andre Hunter,PF,6-7,225,Atlanta Hawks
5,Bones Hyland,G,6-3,173,Los Angeles Clippers
7,Joe Ingles,F,6-8,226,Orlando Magic
14,Brandon Ingram,SF,6-7,190,New Orleans Pelicans
2,Kyrie Irving,G,6-2,191,Dallas Mavericks
1,Jonathan Isaac,SF,6-10,230,Orlando Magic
23,Jaden Ivey,G,6-4,195,Detroit Pistons
22,Isaiah Jackson,PF,6-10,206,Indiana Pacers
44,"Andre Jackson, Jr.",G,6-6,200,Milwaukee Bucks
13,"Jaren Jackson, Jr.",PF,6-11,242,Memphis Grizzlies
7,Reggie Jackson,G,6-2,208,Denver Nuggets
32,Trayce Jackson-Davis,F,6-9,240,Golden State Warriors
23,LeBron James,F,6-8,250,Los Angeles Lakers
11,"Jaime Jaquez, Jr.",GF,6-7,220,Miami Heat
8,DaQuan Jeffries,SF,6-5,225,New York Knicks
2,Ty Jerome,PG,6-5,195,Cleveland Cavaliers
11,Isaiah Joe,SG,6-3,174,Oklahoma City Thunder
2,Cameron Johnson,G,6-9,210,Brooklyn Nets
