Team Number,Player Name,Position,Height,Weight,Team
33,Myles Turner,FC,6-11,250,Indiana Pacers
4,Hunter Tyson,SF,6-8,215,Denver Nuggets
14,Stanley Umude,G,6-6,210,Detroit Pistons
17,Jonas Valanciunas,C,7-0,265,New Orleans Pelicans
5,Fred VanVleet,G,6-0,200,Houston Rockets
2,Jarred Vanderbilt,PF,6-8,214,Los Angeles Lakers
24,Devin Vassell,SG,6-6,195,San Antonio Spurs
7,Sasha Vezenkov,PF,6-9,225,Sacramento Kings
7,Gabe Vincent,G,6-3,195,Los Angeles Lakers
9,Nikola Vucevic,PF,6-11,260,Chicago Bulls
32,Dean Wade,PF,6-9,219,Cleveland Cavaliers
22,Franz Wagner,SF,6-10,225,Orlando Magic
21,Moe Wagner,PF,6-11,240,Orlando Magic
12,Ish Wainright,GF,6-5,235,Phoenix Suns
34,Jabari Walker,F,6-7,200,Portland Trail Blazers
5,Jarace Walker,G,6-8,240,Indiana Pacers
,Jordan Walker,G,5-11,170,Dallas Mavericks
8,Lonnie Walker,SG,6-5,205,Brooklyn Nets
22,Cason Wallace,G,6-4,195,Oklahoma City Thunder
27,Jordan Walsh,F,6-7,205,Boston Celtics
44,"Duane Washington, Jr.",G,6-3,210,New York Knicks
18,Yuta Watanabe,F,6-8,214,Phoenix Suns
9,Trendon Watford,SF,6-8,237,Brooklyn Nets
8,Peyton Watson,GF,6-8,200,Denver Nuggets
1,Victor Wembanyama,F,7-3,225,San Antonio Spurs
14,Blake Wesley,SG,6-4,190,San Antonio Spurs
0,Russell Westbrook,G,6-3,200,Los Angeles Clippers
0,Coby White,PG,6-4,195,Chicago Bulls
9,Derrick White,G,6-4,195,Boston Celtics
10,Jack White,SF,6-7,222,Oklahoma City Thunder
0,Dariq Whitehead,F,6-7,215,Brooklyn Nets
7,Cam Whitmore,F,6-7,235,Houston Rockets
15,Joe Wieskamp,SF,6-6,205,Dallas Mavericks
21,Aaron Wiggins,F,6-6,200,Oklahoma City Thunder
22,Andrew Wiggins,F,6-7,203,Golden State Warriors
28,Lindell Wigginton,SG,6-1,189,Milwaukee Bucks
31,Alondes Williams,G,6-4,205,Miami Heat
3,Grant Williams,SF,6-6,236,Dallas Mavericks
8,Jalen Williams,G,6-6,218,Oklahoma City Thunder
6,Jaylin Williams,C,6-10,245,Oklahoma City Thunder
23,"Nate Williams, Jr.",SG,6-5,206,Houston Rockets
5,"Vincent Williams, Jr.",SF,6-6,205,Memphis Grizzlies
34,Kenrich Williams,SF,6-7,210,Oklahoma City Thunder
5,Mark Williams,C,7-1,242,Charlotte Hornets
44,Patrick Williams,G,6-7,215,Chicago Bulls
44,Robert Williams,PF,6-8,240,Boston Celtics
8,Ziaire Williams,F,6-9,185,Memphis Grizzlies
1,Zion Williamson,PF,6-6,284,New Orleans Pelicans
22,Jalen Wilson,F,6-8,225,Brooklyn Nets
9,Dylan Windler,SF,6-6,199,New York Knicks
13,James Wiseman,C,7-0,240,Detroit Pistons
21,Isaiah Wong,G,6-4,184,Indiana Pacers
55,Delon Wright,G,6-5,185,Washington Wizards
21,Thaddeus Young,F,6-8,235,Toronto Raptors
11,Trae Young,PG,6-1,180,Atlanta Hawks
77,Omer Yurtseven,C,6-11,255,Utah Jazz
44,Cody Zeller,F,6-11,240,New Orleans Pelicans
40,Ivica Zubac,C,7-0,240,Los Angeles Clippers
