Player_name,Salary in 2023/24
Delon Wright,"$8,195,122"
Onyeka Okongwu,"$8,109,063"
Scottie Barnes,"$8,008,680"
Jock Landale,"$8,000,000"
Trey Lyles,"$8,000,000"
Moritz Wagner,"$8,000,000"
De'Anthony Melton,"$8,000,000"
Thaddeus Young,"$8,000,000"
Ausar Thompson,"$7,977,420"
Miles Bridges,"$7,921,300"
Vasilije Micic,"$7,723,000"
Paul Reed,"$7,723,000"
Zach Collins,"$7,700,000"
Jaden Ivey,"$7,614,480"
Cody Martin,"$7,560,000"
Kevon Looney,"$7,500,000"
Killian Hayes,"$7,413,955"
Jalen Suggs,"$7,252,080"
Anthony Black,"$7,245,480"
Khem Birch,"$6,985,000"
Bennedict Mathurin,"$6,916,080"
Obi Toppin,"$6,803,012"
Caleb Martin,"$6,802,950"
Patrick Mills,"$6,802,950"
Danilo Gallinari,"$6,802,950"
Cedi Osman,"$6,718,842"
Bilal Coulibaly,"$6,614,256"
Josh Giddey,"$6,587,040"
Jae'Sean Tate,"$6,500,000"
Cameron Payne,"$6,500,000"
Ayo Dosunmu,"$6,481,482"
Rudy Gay,"$6,479,000"
Sasha Vezenkov,"$6,341,464"
Shaedon Sharpe,"$6,313,800"
Otto Porter,"$6,300,000"
Deni Avdija,"$6,263,188"
Nassir Little,"$6,250,000"
Jevon Carter,"$6,190,476"
Kenrich Williams,"$6,175,000"
Ricky Rubio,"$6,146,342"
Jarace Walker,"$6,059,460"
Jonathan Kuminga,"$6,012,840"
Devin Vassell,"$5,887,899"
Tyrese Haliburton,"$5,808,435"
Dyson Daniels,"$5,784,120"
JaVale McGee,"$5,734,280"
Kira Lewis,"$5,722,116"
Dean Wade,"$5,709,877"
Aaron Nesmith,"$5,634,257"
Taylor Hendricks,"$5,569,872"
Cole Anthony,"$5,539,771"
Franz Wagner,"$5,508,720"
Furkan Korkmaz,"$5,370,370"
Jeremy Sochan,"$5,316,960"
Cason Wallace,"$5,291,352"
Isaiah Stewart,"$5,266,713"
Chuma Okeke,"$5,266,712"
Davion Mitchell,"$5,063,640"
Johnny Davis,"$5,050,800"
Jalen Smith,"$5,043,773"
Jett Howard,"$5,026,824"
Aleksej Pokusevski,"$5,009,633"
Reggie Jackson,"$5,000,000"
Shake Milton,"$5,000,000"
Mason Plumlee,"$5,000,000"
Ziaire Williams,"$4,810,200"
Ousmane Dieng,"$4,798,440"
Dereck Lively,"$4,775,628"
Josh Green,"$4,765,339"
Jarred Vanderbilt,"$4,698,000"
Nickeil Alexander-Walker,"$4,687,500"
James Bouknight,"$4,570,080"
Jalen Williams,"$4,558,680"
Saddiq Bey,"$4,556,983"
Gradey Dick,"$4,536,708"
Jalen McDaniels,"$4,516,000"
Taurean Prince,"$4,516,000"
Precious Achiuwa,"$4,379,526"
Tyrese Maxey,"$4,343,920"
Josh Primo,"$4,341,600"
Jalen Duren,"$4,330,680"
Danuel House,"$4,310,250"
Jordan Hawkins,"$4,310,196"
Zeke Nnaji,"$4,306,281"
Immanuel Quickley,"$4,171,548"
Chris Duarte,"$4,124,400"
Ochai Agbaji,"$4,114,200"
Kobe Bufkin,"$4,094,244"
Payton Pritchard,"$4,037,277"
Dwight Powell,"$4,000,000"
Troy Brown,"$4,000,000"
Seth Curry,"$4,000,000"
Moses Moody,"$3,918,480"
Mark Williams,"$3,908,160"
Jaden McDaniels,"$3,901,399"
Keyonte George,"$3,889,776"
Malachi Flynn,"$3,873,024"
Desmond Bane,"$3,845,083"
Russell Westbrook,"$3,835,738"
Kevin Love,"$3,835,738"
Corey Kispert,"$3,722,040"
AJ Griffin,"$3,712,920"
Jalen Hood-Schifino,"$3,695,076"
Amir Coffey,"$3,666,667"
Alperen Sengun,"$3,536,280"
Tari Eason,"$3,527,160"
Jaime Jaquez,"$3,510,540"
Mike Muscala,"$3,500,000"
Andre Drummond,"$3,360,000"
Trey Murphy,"$3,359,280"
Brandin Podziemski,"$3,352,404"
Dalen Terry,"$3,350,760"
Cameron Whitmore,"$3,218,160"
Jake LaRavia,"$3,199,920"
Derrick Rose,"$3,196,448"
Eric Gordon,"$3,196,448"
Wesley Matthews,"$3,196,448"
Justin Holiday,"$3,196,448"
DeAndre Jordan,"$3,196,448"
Cory Joseph,"$3,196,448"
Jae Crowder,"$3,196,448"
Robin Lopez,"$3,196,448"
Cody Zeller,"$3,196,448"
Patrick Beverley,"$3,196,448"
Alex Len,"$3,196,448"
Nerlens Noel,"$3,196,448"
Garrett Temple,"$3,196,448"
Tre Mann,"$3,191,400"
Noah Clowney,"$3,089,460"
Malaki Branham,"$3,071,880"
Kai Jones,"$3,047,880"
Simone Fontecchio,"$3,044,872"
Dante Exum,"$3,000,000"
Julian Champagnie,"$3,000,000"
Jordan Nwora,"$3,000,000"
Dariq Whitehead,"$2,966,040"
Christian Braun,"$2,949,120"
Jalen Johnson,"$2,925,360"
Josh Richardson,"$2,891,467"
Montrezl Harrell,"$2,891,467"
Kris Murray,"$2,847,504"
Andrew Nicholson,"$2,844,429"
Walker Kessler,"$2,831,160"
Josh Okogie,"$2,815,937"
Keon Johnson,"$2,808,720"
Omer Yurtseven,"$2,800,000"
Dewayne Dedmon,"$2,748,674"
Olivier-Maxence Prosper,"$2,733,720"
David Roddy,"$2,718,240"
Dario Saric,"$2,709,849"
Malik Beasley,"$2,709,849"
Isaiah Jackson,"$2,696,280"
Marcus Sasser,"$2,624,028"
MarJon Beauchamp,"$2,609,400"
Charles Bassey,"$2,600,000"
Usman Garuba,"$2,588,400"
Damian Jones,"$2,586,665"
Kris Dunn,"$2,586,484"
Bruno Fernando,"$2,581,522"
Ben Sheppard,"$2,537,172"
Torrey Craig,"$2,528,233"
Thomas Bryant,"$2,528,233"
Damion Lee,"$2,528,233"
Dennis Smith,"$2,528,233"
Frank Ntilikina,"$2,528,233"
Blake Wesley,"$2,504,640"
Josh Christopher,"$2,485,200"
Nick Smith,"$2,463,912"
Brice Sensabaugh,"$2,448,600"
Ty Jerome,"$2,439,025"
Julian Strawther,"$2,431,044"
Wendell Moore,"$2,421,720"
Kobe Brown,"$2,413,356"
Luke Kornet,"$2,413,304"
