Range,current_team,Player_name,team_number,position
122,New York Knicks,Josh Hart,3.0,SG
123,Los Angeles Clippers,Russell Westbrook,0.0,G
124,Minnesota Timberwolves,Mike Conley,10.0,PG
125,San Antonio Spurs,Tre Jones,33.0,PG
126,Denver Nuggets,Aaron Gordon,50.0,F
127,Detroit Pistons,Jaden Ivey,23.0,G
128,Minnesota Timberwolves,Kyle Anderson,1.0,PF
129,New York Knicks,Immanuel Quickley,5.0,PG
130,Minnesota Timberwolves,Jaden McDaniels,3.0,F
131,Sacramento Kings,Harrison Barnes,40.0,SF
132,,Kevin Porter,,
133,Houston Rockets,Amen Thompson,1.0,G
134,Utah Jazz,Talen Horton-Tucker,0.0,SF
135,Washington Wizards,Deni Avdija,8.0,SG
136,Washington Wizards,Delon Wright,55.0,G
137,,Herbert Jones,,
138,San Antonio Spurs,Jeremy Sochan,10.0,SG
139,Houston Rockets,Tari Eason,17.0,F
140,Philadelphia Sixers,De'Anthony Melton,8.0,SG
141,Los Angeles Clippers,Norman Powell,24.0,SG
142,Indiana Pacers,Jarace Walker,5.0,G
143,,RJ Barrett,,
144,Utah Jazz,Kelly Olynyk,41.0,C
145,Utah Jazz,Taylor Hendricks,0.0,F
146,,Bruce Brown,,
147,Houston Rockets,Cam Whitmore,7.0,F
148,Detroit Pistons,Monte Morris,5.0,G
149,,Christian Wood,,
150,,Kelly Oubre,,
151,,P.J. Washington,,
